;year;gender;race;borough;mean_Q131;mean_Q133;count;total_surveys_borough;proportion_subgroup;Q131_Q133_avg;year;mean_Q131;mean_Q133;count;total_surveys_borough;proportion_subgroup;Q131_Q133_avg;gender_Male;race_Black;race_White;borough_Barking and Dagenham;borough_Barnet;borough_Bexley;borough_Brent;borough_Bromley;borough_Camden;borough_Croydon;borough_Ealing;borough_Enfield;borough_Greenwich;borough_Hackney;borough_Hammersmith & Fulham;borough_Hammersmith and Fulham;borough_Haringey;borough_Harrow;borough_Havering;borough_Hillingdon;borough_Hounslow;borough_Islington;borough_Kensington & Chelsea;borough_Kensington and Chelsea;borough_Kingston upon Thames;borough_Lambeth;borough_Lewisham;borough_Merton;borough_Newham;borough_Redbridge;borough_Richmond Upon Thames;borough_Richmond upon Thames;borough_Southwark;borough_Sutton;borough_Tower Hamlets;borough_Waltham Forest;borough_Wandsworth;borough_Westminster
15;2020;Female;Asian;Harrow;1.5806451612903225;1.7903225806451613;62;350;0.17714285714285713;1.685483870967742;2020;1.5806451612903225;1.7903225806451613;62;350;0.17714285714285713;1.685483870967742;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
16;2020;Female;Asian;Havering;1.6;1.5;10;323;0.030959752321981424;1.55;2020;1.6;1.5;10;323;0.030959752321981424;1.55;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
17;2020;Female;Asian;Hillingdon;1.2285714285714286;1.8;35;341;0.10263929618768329;1.5142857142857142;2020;1.2285714285714286;1.8;35;341;0.10263929618768329;1.5142857142857142;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
18;2020;Female;Asian;Hounslow;1.5714285714285714;1.8035714285714286;56;336;0.16666666666666666;1.6875;2020;1.5714285714285714;1.8035714285714286;56;336;0.16666666666666666;1.6875;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
19;2020;Female;Asian;Islington;1.6153846153846154;1.8461538461538463;13;316;0.04113924050632911;1.7307692307692308;2020;1.6153846153846154;1.8461538461538463;13;316;0.04113924050632911;1.7307692307692308;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
20;2020;Female;Asian;Kensington & Chelsea;1.125;1.375;8;241;0.03319502074688797;1.25;2020;1.125;1.375;8;241;0.03319502074688797;1.25;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
21;2020;Female;Asian;Kensington and Chelsea;1.0;1.1428571428571428;7;76;0.09210526315789473;1.0714285714285714;2020;1.0;1.1428571428571428;7;76;0.09210526315789473;1.0714285714285714;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False
22;2020;Female;Asian;Kingston upon Thames;1.7857142857142858;1.7857142857142858;14;340;0.041176470588235294;1.7857142857142858;2020;1.7857142857142858;1.7857142857142858;14;340;0.041176470588235294;1.7857142857142858;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False
23;2020;Female;Asian;Lambeth;1.2;1.8;5;332;0.015060240963855422;1.5;2020;1.2;1.8;5;332;0.015060240963855422;1.5;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False
24;2020;Female;Asian;Lewisham;1.3636363636363635;1.7272727272727273;11;320;0.034375;1.5454545454545454;2020;1.3636363636363635;1.7272727272727273;11;320;0.034375;1.5454545454545454;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False
25;2020;Female;Asian;Merton;1.65;1.85;20;337;0.05934718100890208;1.75;2020;1.65;1.85;20;337;0.05934718100890208;1.75;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False
26;2020;Female;Asian;Newham;1.46875;1.703125;64;329;0.1945288753799392;1.5859375;2020;1.46875;1.703125;64;329;0.1945288753799392;1.5859375;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False
27;2020;Female;Asian;Redbridge;1.3725490196078431;1.5294117647058822;51;344;0.14825581395348839;1.4509803921568627;2020;1.3725490196078431;1.5294117647058822;51;344;0.14825581395348839;1.4509803921568627;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False
28;2020;Female;Asian;Richmond Upon Thames;1.8;1.4;5;266;0.018796992481203006;1.6;2020;1.8;1.4;5;266;0.018796992481203006;1.6;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False
29;2020;Female;Asian;Richmond upon Thames;1.6;1.8;5;79;0.06329113924050633;1.7000000000000002;2020;1.6;1.8;5;79;0.06329113924050633;1.7000000000000002;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False
30;2020;Female;Asian;Southwark;1.3333333333333333;2.0;6;319;0.018808777429467086;1.6666666666666665;2020;1.3333333333333333;2.0;6;319;0.018808777429467086;1.6666666666666665;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False
31;2020;Female;Asian;Sutton;1.588235294117647;1.9411764705882353;17;347;0.04899135446685879;1.7647058823529411;2020;1.588235294117647;1.9411764705882353;17;347;0.04899135446685879;1.7647058823529411;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False
32;2020;Female;Asian;Tower Hamlets;1.3513513513513513;1.5405405405405406;74;316;0.23417721518987342;1.445945945945946;2020;1.3513513513513513;1.5405405405405406;74;316;0.23417721518987342;1.445945945945946;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False
33;2020;Female;Asian;Waltham Forest;1.4761904761904763;1.7619047619047619;21;331;0.0634441087613293;1.619047619047619;2020;1.4761904761904763;1.7619047619047619;21;331;0.0634441087613293;1.619047619047619;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False
34;2020;Female;Asian;Wandsworth;1.7058823529411764;1.8823529411764706;17;324;0.05246913580246913;1.7941176470588234;2020;1.7058823529411764;1.8823529411764706;17;324;0.05246913580246913;1.7941176470588234;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False
35;2020;Female;Asian;Westminster;1.5555555555555556;1.5925925925925926;27;317;0.08517350157728706;1.574074074074074;2020;1.5555555555555556;1.5925925925925926;27;317;0.08517350157728706;1.574074074074074;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
36;2020;Female;Black;Barking & Dagenham;1.4782608695652173;1.9130434782608696;23;256;0.08984375;1.6956521739130435;2020;1.4782608695652173;1.9130434782608696;23;256;0.08984375;1.6956521739130435;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
37;2020;Female;Black;Barking and Dagenham;1.2;1.3;10;87;0.11494252873563218;1.25;2020;1.2;1.3;10;87;0.11494252873563218;1.25;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
38;2020;Female;Black;Barnet;1.5625;2.125;16;334;0.04790419161676647;1.84375;2020;1.5625;2.125;16;334;0.04790419161676647;1.84375;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
39;2020;Female;Black;Bexley;1.3333333333333333;1.6;15;339;0.04424778761061947;1.4666666666666668;2020;1.3333333333333333;1.6;15;339;0.04424778761061947;1.4666666666666668;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
40;2020;Female;Black;Brent;1.3617021276595744;1.6808510638297873;47;333;0.14114114114114115;1.521276595744681;2020;1.3617021276595744;1.6808510638297873;47;333;0.14114114114114115;1.521276595744681;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
41;2020;Female;Black;Bromley;1.5;1.2;10;344;0.029069767441860465;1.35;2020;1.5;1.2;10;344;0.029069767441860465;1.35;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
42;2020;Female;Black;Camden;1.4583333333333333;1.6666666666666667;24;330;0.07272727272727272;1.5625;2020;1.4583333333333333;1.6666666666666667;24;330;0.07272727272727272;1.5625;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
43;2020;Female;Black;Croydon;1.4193548387096775;1.5161290322580645;31;340;0.09117647058823529;1.467741935483871;2020;1.4193548387096775;1.5161290322580645;31;340;0.09117647058823529;1.467741935483871;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
44;2020;Female;Black;Ealing;1.2666666666666666;1.7333333333333334;15;331;0.045317220543806644;1.5;2020;1.2666666666666666;1.7333333333333334;15;331;0.045317220543806644;1.5;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
45;2020;Female;Black;Enfield;1.3103448275862069;1.7241379310344827;29;327;0.08868501529051988;1.5172413793103448;2020;1.3103448275862069;1.7241379310344827;29;327;0.08868501529051988;1.5172413793103448;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
46;2020;Female;Black;Greenwich;1.5;1.7941176470588236;34;334;0.10179640718562874;1.6470588235294117;2020;1.5;1.7941176470588236;34;334;0.10179640718562874;1.6470588235294117;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
47;2020;Female;Black;Hackney;1.288888888888889;1.5777777777777777;45;318;0.14150943396226415;1.4333333333333333;2020;1.288888888888889;1.5777777777777777;45;318;0.14150943396226415;1.4333333333333333;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
48;2020;Female;Black;Hammersmith & Fulham;1.4545454545454546;1.5454545454545454;22;243;0.09053497942386832;1.5;2020;1.4545454545454546;1.5454545454545454;22;243;0.09053497942386832;1.5;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
49;2020;Female;Black;Hammersmith and Fulham;1.5714285714285714;2.0;7;81;0.08641975308641975;1.7857142857142856;2020;1.5714285714285714;2.0;7;81;0.08641975308641975;1.7857142857142856;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
50;2020;Female;Black;Haringey;1.302325581395349;1.6046511627906976;43;329;0.13069908814589665;1.4534883720930232;2020;1.302325581395349;1.6046511627906976;43;329;0.13069908814589665;1.4534883720930232;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
51;2020;Female;Black;Harrow;1.6666666666666667;1.9047619047619047;21;350;0.06;1.7857142857142856;2020;1.6666666666666667;1.9047619047619047;21;350;0.06;1.7857142857142856;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
52;2020;Female;Black;Havering;1.4166666666666667;1.75;12;323;0.03715170278637771;1.5833333333333335;2020;1.4166666666666667;1.75;12;323;0.03715170278637771;1.5833333333333335;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
53;2020;Female;Black;Hillingdon;1.3333333333333333;1.4166666666666667;12;341;0.03519061583577713;1.375;2020;1.3333333333333333;1.4166666666666667;12;341;0.03519061583577713;1.375;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
54;2020;Female;Black;Hounslow;1.4444444444444444;1.8888888888888888;9;336;0.026785714285714284;1.6666666666666665;2020;1.4444444444444444;1.8888888888888888;9;336;0.026785714285714284;1.6666666666666665;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
55;2020;Female;Black;Islington;1.5806451612903225;1.8387096774193548;31;316;0.0981012658227848;1.7096774193548385;2020;1.5806451612903225;1.8387096774193548;31;316;0.0981012658227848;1.7096774193548385;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
56;2020;Female;Black;Kensington & Chelsea;1.375;1.6875;16;241;0.06639004149377593;1.53125;2020;1.375;1.6875;16;241;0.06639004149377593;1.53125;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
57;2020;Female;Black;Kensington and Chelsea;1.2222222222222223;1.6666666666666667;9;76;0.11842105263157894;1.4444444444444446;2020;1.2222222222222223;1.6666666666666667;9;76;0.11842105263157894;1.4444444444444446;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False
