,year,borough,Post Type,Like,Retweet,Reply,Post Type_image,Post Type_text,Post Type_video,Police force,Contact / Interact,London,Project Servator,Local,Missing person,Crime,Arrest / Results,Traffic,Drugs
56,2017,Barking and Dagenham,image,4,,,1,0,0,0,0,0,0,0,0,0,0,1,0
57,2017,Barking and Dagenham,image,1,,,1,0,0,0,1,0,0,0,0,1,0,0,0
58,2017,Barking and Dagenham,image,2,,,1,0,0,1,0,0,0,1,0,0,0,0,0
59,2017,Barking and Dagenham,text,,,,0,1,0,0,0,0,0,0,0,1,1,0,0
60,2017,Barking and Dagenham,image,,,,1,0,0,0,1,0,0,0,0,1,1,0,0
61,2017,Barking and Dagenham,image,15,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
62,2017,Barking and Dagenham,image,2,1,,1,0,0,0,0,0,0,0,0,1,0,0,0
63,2017,Barking and Dagenham,text,2,,,0,1,0,0,0,0,0,0,0,0,0,0,0
64,2017,Barking and Dagenham,image,1,,,1,0,0,0,1,0,0,0,0,1,1,0,0
65,2017,Barking and Dagenham,image,26,7,1,1,0,0,1,0,0,0,0,0,1,0,1,0
66,2017,Barking and Dagenham,image,27,4,,1,0,0,1,0,0,0,1,0,1,1,1,0
67,2017,Barking and Dagenham,image,49,15,2,1,0,0,1,1,0,0,0,0,1,1,1,0
68,2017,Barking and Dagenham,image,3,,,1,0,0,1,0,0,0,1,0,0,0,0,0
69,2017,Barking and Dagenham,image,1,1,,1,0,0,1,0,1,0,0,0,0,0,0,0
70,2017,Barking and Dagenham,text,4,,,0,1,0,1,0,0,0,0,0,0,0,0,0
71,2017,Barking and Dagenham,image,14,1,3,1,0,0,1,0,0,0,0,0,0,1,1,0
72,2017,Barking and Dagenham,image,19,4,2,1,0,0,1,0,0,0,0,0,0,0,1,0
73,2017,Barking and Dagenham,image,3,6,,1,0,0,1,0,1,0,0,0,0,0,0,0
74,2017,Barking and Dagenham,image,9,1,,1,0,0,1,0,0,0,1,0,0,0,0,0
75,2017,Barking and Dagenham,image,5,2,,1,0,0,0,0,0,0,0,0,1,0,0,0
76,2017,Barking and Dagenham,image,32,2,6,1,0,0,1,0,1,0,0,0,1,0,1,0
77,2017,Barking and Dagenham,image,6,3,,1,0,0,0,0,0,0,0,0,1,0,0,0
78,2017,Barking and Dagenham,text,5,3,,0,1,0,0,0,0,0,0,0,0,0,1,0
79,2017,Barking and Dagenham,text,5,1,,0,1,0,1,1,0,0,1,0,0,1,0,0
80,2017,Barking and Dagenham,text,2,,,0,1,0,0,0,0,0,0,0,1,1,0,0
81,2017,Barking and Dagenham,image,1,,,1,0,0,0,1,0,0,0,0,0,1,0,0
82,2017,Barking and Dagenham,image,22,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0
83,2017,Barking and Dagenham,text,2,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
84,2017,Barking and Dagenham,text,1,,,0,1,0,0,1,0,0,0,0,1,1,0,0
85,2017,Barking and Dagenham,image,1,1,,1,0,0,0,1,0,0,0,0,0,1,0,0
86,2017,Barking and Dagenham,image,19,1,3,1,0,0,1,0,0,0,0,0,1,1,1,0
87,2017,Barking and Dagenham,image,10,,,1,0,0,1,0,0,0,0,0,1,1,1,0
88,2017,Barking and Dagenham,image,7,2,,1,0,0,1,0,0,0,0,0,0,1,1,0
89,2017,Barking and Dagenham,image,30,6,5,1,0,0,1,0,0,0,1,0,0,1,1,0
90,2017,Barking and Dagenham,image,4,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0
91,2017,Barking and Dagenham,image,,,,1,0,0,0,1,0,0,0,0,1,0,0,0
92,2017,Barking and Dagenham,image,,,,1,0,0,0,0,0,0,0,0,0,0,1,0
93,2017,Barking and Dagenham,text,4,,,0,1,0,0,0,0,0,0,0,0,1,0,1
94,2017,Barking and Dagenham,text,4,,,0,1,0,1,0,1,0,1,0,0,0,0,0
95,2017,Barking and Dagenham,image,,,,1,0,0,0,1,0,0,0,0,0,1,0,0
96,2017,Barking and Dagenham,text,6,,,0,1,0,0,0,0,0,0,0,0,0,1,0
97,2017,Barking and Dagenham,image,30,8,2,1,0,0,1,0,0,0,0,0,1,0,0,0
98,2017,Barking and Dagenham,image,2,,,1,0,0,0,0,0,0,0,0,1,1,0,0
99,2017,Barking and Dagenham,image,2,3,,1,0,0,0,1,0,0,0,0,0,1,0,0
100,2017,Barking and Dagenham,image,2,,,1,0,0,0,0,0,0,0,0,1,0,1,0
101,2017,Barking and Dagenham,text,2,,,0,1,0,0,0,0,0,0,0,1,1,0,0
102,2017,Barking and Dagenham,image,9,4,2,1,0,0,0,0,1,0,0,0,1,0,0,0
103,2017,Barking and Dagenham,image,51,6,5,1,0,0,1,0,0,0,0,0,1,1,0,0
104,2017,Barking and Dagenham,image,2,,,1,0,0,0,1,0,0,0,0,0,0,0,0
105,2017,Barking and Dagenham,image,5,3,1,1,0,0,0,1,0,0,0,0,0,1,1,0
106,2017,Barking and Dagenham,image,2,1,,1,0,0,0,0,0,0,0,0,0,0,0,0
107,2017,Barking and Dagenham,image,4,3,,1,0,0,0,0,0,0,0,0,1,0,0,0
108,2017,Barking and Dagenham,image,3,1,,1,0,0,0,1,0,0,0,0,0,0,0,0
109,2017,Barking and Dagenham,image,1,1,,1,0,0,0,1,0,0,0,0,1,0,0,0
110,2017,Barking and Dagenham,image,7,1,,1,0,0,0,0,0,0,0,0,1,0,0,0
111,2017,Barking and Dagenham,image,2,3,,1,0,0,0,0,1,0,0,0,1,0,0,0
112,2017,Barking and Dagenham,image,7,1,,1,0,0,0,0,0,0,1,0,0,0,0,0
113,2017,Barking and Dagenham,image,5,1,,1,0,0,1,1,0,0,1,0,0,1,0,0
114,2017,Barking and Dagenham,image,2,2,,1,0,0,0,0,0,0,1,0,0,0,0,0
115,2017,Barking and Dagenham,image,32,4,3,1,0,0,1,0,0,0,0,0,0,1,1,0
116,2017,Barking and Dagenham,text,12,4,,0,1,0,1,0,0,0,0,1,1,1,0,0
117,2017,Barking and Dagenham,image,109,27,18,1,0,0,1,0,0,0,0,0,1,1,0,0
118,2017,Barking and Dagenham,image,19,2,,1,0,0,1,0,0,0,0,0,1,0,1,0
119,2017,Barking and Dagenham,image,22,3,4,1,0,0,1,0,0,0,0,0,1,1,0,0
120,2017,Barking and Dagenham,image,11,1,,1,0,0,0,0,0,0,0,0,0,0,1,0
121,2017,Barking and Dagenham,image,20,2,,1,0,0,1,0,0,0,0,0,0,1,1,0
122,2017,Barking and Dagenham,image,7,,,1,0,0,1,0,0,0,0,0,0,0,1,0
123,2017,Barking and Dagenham,image,17,2,1,1,0,0,1,0,0,0,1,0,1,0,0,0
124,2017,Barking and Dagenham,image,4,1,,1,0,0,0,1,0,0,0,0,1,0,0,0
125,2017,Barking and Dagenham,image,2,1,,1,0,0,0,0,1,0,0,0,1,0,0,0
126,2017,Barking and Dagenham,text,2,2,,0,1,0,1,1,0,0,0,0,1,0,0,0
127,2017,Barking and Dagenham,image,2,1,,1,0,0,0,0,0,0,1,0,0,0,0,0
128,2017,Barking and Dagenham,image,24,4,1,1,0,0,1,0,0,0,0,0,1,1,0,0
129,2017,Barking and Dagenham,image,25,6,2,1,0,0,1,0,0,0,0,0,1,0,0,0
130,2017,Barking and Dagenham,image,23,5,,1,0,0,1,0,0,0,0,0,0,1,0,0
131,2017,Barking and Dagenham,image,1,3,,1,0,0,0,0,0,0,0,0,1,0,1,0
132,2017,Barking and Dagenham,text,3,2,,0,1,0,0,0,0,0,0,0,0,0,1,0
133,2017,Barking and Dagenham,text,2,1,,0,1,0,0,0,0,0,0,0,0,0,0,0
134,2017,Barking and Dagenham,image,6,3,,1,0,0,0,0,0,0,0,0,0,0,0,0
135,2017,Barking and Dagenham,image,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
136,2017,Barking and Dagenham,video,3,1,,0,0,1,0,0,0,0,0,0,1,0,1,0
137,2017,Barking and Dagenham,image,7,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0
138,2017,Barking and Dagenham,image,3,2,,1,0,0,0,1,0,0,0,0,0,0,0,0
139,2017,Barking and Dagenham,image,2,1,,1,0,0,0,1,0,0,0,0,1,0,0,0
140,2017,Barking and Dagenham,image,2,,,1,0,0,1,0,0,0,1,0,0,0,0,0
141,2017,Barking and Dagenham,image,2,,,1,0,0,0,0,0,0,0,0,1,0,0,0
142,2017,Barking and Dagenham,image,8,,1,1,0,0,0,1,0,0,0,0,0,1,1,0
143,2017,Barking and Dagenham,image,4,1,,1,0,0,0,0,0,0,1,0,0,0,0,0
144,2017,Barking and Dagenham,image,17,1,,1,0,0,1,0,0,0,0,0,0,0,1,0
145,2017,Barking and Dagenham,image,4,1,,1,0,0,0,0,0,0,0,0,1,0,0,0
146,2017,Barking and Dagenham,image,4,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
147,2017,Barking and Dagenham,image,31,4,2,1,0,0,1,0,0,0,0,0,0,1,1,0
148,2017,Barking and Dagenham,video,4,4,,0,0,1,0,0,0,0,0,0,1,0,0,0
149,2017,Barking and Dagenham,image,1,2,,1,0,0,0,0,0,0,0,0,1,0,0,0
150,2017,Barking and Dagenham,image,18,1,3,1,0,0,1,0,0,0,0,0,0,1,1,0
151,2017,Barking and Dagenham,image,24,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0
152,2017,Barking and Dagenham,image,21,5,,1,0,0,1,0,0,0,0,0,1,0,0,0
153,2017,Barking and Dagenham,image,19,3,2,1,0,0,1,0,0,0,0,0,0,1,1,0
154,2017,Barking and Dagenham,image,18,4,,1,0,0,1,0,0,0,0,0,1,0,1,0
155,2017,Barking and Dagenham,image,5,9,1,1,0,0,0,0,0,0,1,1,0,0,0,0
156,2017,Barking and Dagenham,image,33,8,1,1,0,0,1,0,0,0,0,0,0,1,1,0
157,2017,Barking and Dagenham,image,27,6,2,1,0,0,1,0,0,0,0,0,1,0,0,0
158,2017,Barking and Dagenham,image,9,2,,1,0,0,1,0,0,0,0,0,0,1,0,0
159,2017,Barking and Dagenham,image,19,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0
160,2017,Barking and Dagenham,image,10,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
161,2017,Barking and Dagenham,image,19,3,,1,0,0,1,1,0,0,0,0,1,0,1,0
162,2017,Barking and Dagenham,text,3,2,,0,1,0,0,0,0,0,0,0,0,0,0,0
163,2017,Barking and Dagenham,image,5,5,,1,0,0,1,0,0,0,0,0,1,0,0,0
164,2017,Barking and Dagenham,text,1,2,,0,1,0,0,1,0,0,0,0,0,0,0,0
165,2017,Barking and Dagenham,image,16,,1,1,0,0,1,0,0,0,0,0,0,1,1,0
166,2017,Barking and Dagenham,image,14,,,1,0,0,1,0,0,0,0,0,0,1,1,0
167,2017,Barking and Dagenham,image,61,6,2,1,0,0,1,0,0,0,0,0,1,1,1,1
168,2017,Barking and Dagenham,text,12,16,3,0,1,0,1,1,0,0,0,0,1,0,0,0
169,2017,Barking and Dagenham,text,11,3,,0,1,0,1,1,0,0,0,0,0,1,1,0
170,2017,Barking and Dagenham,image,17,3,1,1,0,0,1,0,0,0,0,0,1,1,1,0
171,2017,Barking and Dagenham,image,9,3,2,1,0,0,1,0,0,0,0,0,1,1,1,0
172,2017,Barking and Dagenham,image,10,3,,1,0,0,1,0,0,0,0,0,1,0,0,0
173,2017,Barking and Dagenham,image,13,2,,1,0,0,1,1,0,0,0,0,1,0,1,0
174,2017,Barking and Dagenham,image,21,7,2,1,0,0,1,0,0,0,0,0,1,1,0,0
175,2017,Barking and Dagenham,image,41,8,4,1,0,0,1,0,0,0,0,0,1,1,0,0
176,2017,Barking and Dagenham,text,4,,,0,1,0,0,0,0,0,0,0,0,0,0,0
177,2017,Barking and Dagenham,image,11,,1,1,0,0,1,0,0,0,0,0,0,1,0,0
178,2017,Barking and Dagenham,text,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
179,2017,Barking and Dagenham,text,,,,0,1,0,0,1,0,0,0,0,0,0,0,0
180,2017,Barking and Dagenham,text,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
181,2017,Barking and Dagenham,text,,,,0,1,0,0,1,0,0,0,0,1,0,1,0
182,2017,Barking and Dagenham,image,27,9,,1,0,0,1,0,0,0,1,0,0,0,0,0
183,2017,Barking and Dagenham,image,12,,,1,0,0,1,0,0,0,0,0,1,1,1,0
184,2017,Barking and Dagenham,image,3,13,,1,0,0,0,0,0,0,0,1,0,1,0,0
185,2017,Barking and Dagenham,text,1,,,0,1,0,0,0,0,0,0,0,1,0,0,0
