;year;gender;race;borough;mean_Q131;mean_Q133;count;total_surveys_borough;proportion_subgroup;Q131_Q133_avg;year;mean_Q131;mean_Q133;count;total_surveys_borough;proportion_subgroup;Q131_Q133_avg;gender_Male;race_Black;race_White;borough_Barnet;borough_Bexley;borough_Brent;borough_Bromley;borough_Camden;borough_Croydon;borough_Ealing;borough_Enfield;borough_Greenwich;borough_Hackney;borough_Hammersmith and Fulham;borough_Haringey;borough_Harrow;borough_Havering;borough_Hillingdon;borough_Hounslow;borough_Islington;borough_Kensington and Chelsea;borough_Kingston upon Thames;borough_Lambeth;borough_Lewisham;borough_Merton;borough_Newham;borough_Redbridge;borough_Richmond upon Thames;borough_Southwark;borough_Sutton;borough_Tower Hamlets;borough_Waltham Forest;borough_Wandsworth;borough_Westminster
17;2017;Female;Asian;Islington;1.3333333333333333;1.8;15;312;0.04807692307692308;1.5666666666666667;2017;1.3333333333333333;1.8;15;312;0.04807692307692308;1.5666666666666667;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False
18;2017;Female;Asian;Kensington and Chelsea;1.7391304347826086;1.7826086956521738;23;284;0.08098591549295775;1.7608695652173911;2017;1.7391304347826086;1.7826086956521738;23;284;0.08098591549295775;1.7608695652173911;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False
19;2017;Female;Asian;Kingston upon Thames;1.6363636363636365;1.8636363636363635;22;313;0.07028753993610223;1.75;2017;1.6363636363636365;1.8636363636363635;22;313;0.07028753993610223;1.75;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False
20;2017;Female;Asian;Lambeth;1.6666666666666667;1.9166666666666667;12;280;0.04285714285714286;1.7916666666666667;2017;1.6666666666666667;1.9166666666666667;12;280;0.04285714285714286;1.7916666666666667;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False
21;2017;Female;Asian;Lewisham;1.5454545454545454;1.5454545454545454;11;289;0.03806228373702422;1.5454545454545454;2017;1.5454545454545454;1.5454545454545454;11;289;0.03806228373702422;1.5454545454545454;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False
22;2017;Female;Asian;Merton;1.6666666666666667;1.8571428571428572;21;308;0.06818181818181818;1.7619047619047619;2017;1.6666666666666667;1.8571428571428572;21;308;0.06818181818181818;1.7619047619047619;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False
23;2017;Female;Asian;Newham;1.290909090909091;1.6363636363636365;55;295;0.1864406779661017;1.4636363636363638;2017;1.290909090909091;1.6363636363636365;55;295;0.1864406779661017;1.4636363636363638;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False
24;2017;Female;Asian;Redbridge;1.5714285714285714;1.8142857142857143;70;320;0.21875;1.6928571428571428;2017;1.5714285714285714;1.8142857142857143;70;320;0.21875;1.6928571428571428;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False
25;2017;Female;Asian;Richmond upon Thames;1.5333333333333334;1.7333333333333334;15;315;0.047619047619047616;1.6333333333333333;2017;1.5333333333333334;1.7333333333333334;15;315;0.047619047619047616;1.6333333333333333;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False
26;2017;Female;Asian;Southwark;1.4444444444444444;2.111111111111111;9;287;0.0313588850174216;1.7777777777777777;2017;1.4444444444444444;2.111111111111111;9;287;0.0313588850174216;1.7777777777777777;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False
27;2017;Female;Asian;Sutton;1.5217391304347827;1.826086956521739;23;315;0.07301587301587302;1.6739130434782608;2017;1.5217391304347827;1.826086956521739;23;315;0.07301587301587302;1.6739130434782608;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False
28;2017;Female;Asian;Tower Hamlets;1.4339622641509433;1.6415094339622642;53;294;0.18027210884353742;1.5377358490566038;2017;1.4339622641509433;1.6415094339622642;53;294;0.18027210884353742;1.5377358490566038;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False
