Upper tier local authorities Code,Upper tier local authorities,Ethnic group (8 categories) Code,Ethnic group,Observation
E08000025,Birmingham,4,White British,491211
E08000025,Birmingham,5,White Other,16964
E08000025,Birmingham,6,White Other,48434
E08000025,Birmingham,7,Other,51965
E08000026,Coventry,-8,Does not apply,0
E08000026,Coventry,1,Asian,63917
E08000026,Coventry,2,Black,30723
E08000026,Coventry,3,Mixed,11731
E08000026,Coventry,4,White British,190889
E08000026,Coventry,5,White Other,5662
E08000026,Coventry,6,White Other,29696
E08000026,Coventry,7,Other,12706
E08000027,Dudley,-8,Does not apply,0
E08000027,Dudley,1,Asian,27047
E08000027,Dudley,2,Black,8170
E08000027,Dudley,3,Mixed,9191
E08000027,Dudley,4,White British,266564
E08000027,Dudley,5,White Other,1114
E08000027,Dudley,6,White Other,6918
E08000027,Dudley,7,Other,4484
E08000028,S&well,-8,Does not apply,0
E08000028,S&well,1,Asian,88024
E08000028,S&well,2,Black,29779
E08000028,S&well,3,Mixed,14680
E08000028,S&well,4,White British,177929
E08000028,S&well,5,White Other,1591
E08000028,S&well,6,White Other,16104
E08000028,S&well,7,Other,13725
E08000029,Solihull,-8,Does not apply,0
E08000029,Solihull,1,Asian,23845
E08000029,Solihull,2,Black,3955
E08000029,Solihull,3,Mixed,7496
E08000029,Solihull,4,White British,168398
E08000029,Solihull,5,White Other,3919
E08000029,Solihull,6,White Other,5351
E08000029,Solihull,7,Other,3276
E08000030,Walsall,-8,Does not apply,0
E08000030,Walsall,1,Asian,53199
E08000030,Walsall,2,Black,13024
E08000030,Walsall,3,Mixed,9317
E08000030,Walsall,4,White British,191529
E08000030,Walsall,5,White Other,1070
E08000030,Walsall,6,White Other,10123
E08000030,Walsall,7,Other,5862
E08000031,Wolverhampton,-8,Does not apply,0
E08000031,Wolverhampton,1,Asian,55901
E08000031,Wolverhampton,2,Black,24636
E08000031,Wolverhampton,3,Mixed,14065
E08000031,Wolverhampton,4,White British,144303
E08000031,Wolverhampton,5,White Other,1170
E08000031,Wolverhampton,6,White Other,14235
E08000031,Wolverhampton,7,Other,9417
E08000032,Bradford,-8,Does not apply,0
E08000032,Bradford,1,Asian,175664
E08000032,Bradford,2,Black,10980
E08000032,Bradford,3,Mixed,15006
E08000032,Bradford,4,White British,309912
E08000032,Bradford,5,White Other,2139
E08000032,Bradford,6,White Other,21953
E08000032,Bradford,7,Other,10760
E08000033,Calderdale,-8,Does not apply,0
E08000033,Calderdale,1,Asian,21726
E08000033,Calderdale,2,Black,1439
E08000033,Calderdale,3,Mixed,4028
E08000033,Calderdale,4,White British,170983
E08000033,Calderdale,5,White Other,1564
E08000033,Calderdale,6,White Other,5290
E08000033,Calderdale,7,Other,1601
E08000034,Kirklees,-8,Does not apply,0
E08000034,Kirklees,1,Asian,84202
E08000034,Kirklees,2,Black,9948
E08000034,Kirklees,3,Mixed,13588
E08000034,Kirklees,4,White British,305579
E08000034,Kirklees,5,White Other,2335
E08000034,Kirklees,6,White Other,11055
E08000034,Kirklees,7,Other,6506
E08000035,Leeds,-8,Does not apply,0
E08000035,Leeds,1,Asian,78503
E08000035,Leeds,2,Black,45376
E08000035,Leeds,3,Mixed,27388
E08000035,Leeds,4,White British,595737
E08000035,Leeds,5,White Other,6892
E08000035,Leeds,6,White Other,39172
E08000035,Leeds,7,Other,18885
E08000036,Wakefield,-8,Does not apply,0
E08000036,Wakefield,1,Asian,12633
E08000036,Wakefield,2,Black,4516
E08000036,Wakefield,3,Mixed,4938
E08000036,Wakefield,4,White British,311634
E08000036,Wakefield,5,White Other,963
E08000036,Wakefield,6,White Other,16145
E08000036,Wakefield,7,Other,2541
E08000037,Gateshead,-8,Does not apply,0
E08000037,Gateshead,1,Asian,4925
E08000037,Gateshead,2,Black,2216
E08000037,Gateshead,3,Mixed,2393
E08000037,Gateshead,4,White British,177131
E08000037,Gateshead,5,White Other,710
E08000037,Gateshead,6,White Other,5648
E08000037,Gateshead,7,Other,3128
E09000001,City of London,-8,Does not apply,0
E09000001,City of London,1,Asian,1445
E09000001,City of London,2,Black,233
E09000001,City of London,3,Mixed,469
E09000001,City of London,4,White British,3649
E09000001,City of London,5,White Other,185
E09000001,City of London,6,White Other,2121
E09000001,City of London,7,Other,483
E09000002,Barking & Dagenham,-8,Does not apply,0
E09000002,Barking & Dagenham,1,Asian,56580
E09000002,Barking & Dagenham,2,Black,46807
E09000002,Barking & Dagenham,3,Mixed,9321
E09000002,Barking & Dagenham,4,White British,67550
E09000002,Barking & Dagenham,5,White Other,1185
E09000002,Barking & Dagenham,6,White Other,29540
E09000002,Barking & Dagenham,7,Other,7883
E09000003,Barnet,-8,Does not apply,0
E09000003,Barnet,1,Asian,74970
E09000003,Barnet,2,Black,30653
E09000003,Barnet,3,Mixed,20889
E09000003,Barnet,4,White British,140777
E09000003,Barnet,5,White Other,7644
E09000003,Barnet,6,White Other,76341
E09000003,Barnet,7,Other,38070
E09000004,Bexley,-8,Does not apply,0
E09000004,Bexley,1,Asian,24434
E09000004,Bexley,2,Black,30075
E09000004,Bexley,3,Mixed,8738
E09000004,Bexley,4,White British,158842
E09000004,Bexley,5,White Other,2528
E09000004,Bexley,6,White Other,15793
E09000004,Bexley,7,Other,6062
E09000005,Brent,-8,Does not apply,0
E09000005,Brent,1,Asian,111512
E09000005,Brent,2,Black,59495
E09000005,Brent,3,Mixed,17249
E09000005,Brent,4,White British,51611
E09000005,Brent,5,White Other,9314
E09000005,Brent,6,White Other,56776
E09000005,Brent,7,Other,33860
E09000006,Bromley,-8,Does not apply,0
E09000006,Bromley,1,Asian,27307
E09000006,Bromley,2,Black,25149
E09000006,Bromley,3,Mixed,17740
E09000006,Bromley,4,White British,219493
E09000006,Bromley,5,White Other,4954
E09000006,Bromley,6,White Other,27848
E09000006,Bromley,7,Other,7500
E09000007,Camden,-8,Does not apply,0
E09000007,Camden,1,Asian,38042
E09000007,Camden,2,Black,18893
E09000007,Camden,3,Mixed,13938
E09000007,Camden,4,White British,74348
E09000007,Camden,5,White Other,5325
E09000007,Camden,6,White Other,45391
E09000007,Camden,7,Other,14200
E09000008,Croydon,-8,Does not apply,0
E09000008,Croydon,1,Asian,68487
E09000008,Croydon,2,Black,88438
E09000008,Croydon,3,Mixed,29743
E09000008,Croydon,4,White British,146268
E09000008,Croydon,5,White Other,4935
E09000008,Croydon,6,White Other,37782
E09000008,Croydon,7,Other,15066
E09000009,Ealing,-8,Does not apply,0
E09000009,Ealing,1,Asian,111240
E09000009,Ealing,2,Black,39491
E09000009,Ealing,3,Mixed,19161
E09000009,Ealing,4,White British,89265
E09000009,Ealing,5,White Other,8511
E09000009,Ealing,6,White Other,60687
E09000009,Ealing,7,Other,38760
E09000010,Enfield,-8,Does not apply,0
E09000010,Enfield,1,Asian,37973
E09000010,Enfield,2,Black,60511
E09000010,Enfield,3,Mixed,19557
E09000010,Enfield,4,White British,103140
E09000010,Enfield,5,White Other,5969
E09000010,Enfield,6,White Other,62774
E09000010,Enfield,7,Other,40058
E09000011,Greenwich,-8,Does not apply,0
E09000011,Greenwich,1,Asian,38029
E09000011,Greenwich,2,Black,60602
E09000011,Greenwich,3,Mixed,17297
E09000011,Greenwich,4,White British,119665
E09000011,Greenwich,5,White Other,4230
E09000011,Greenwich,6,White Other,37113
E09000011,Greenwich,7,Other,12132
E09000012,Hackney,-8,Does not apply,0
E09000012,Hackney,1,Asian,26885
E09000012,Hackney,2,Black,54645
E09000012,Hackney,3,Mixed,17487
E09000012,Hackney,4,White British,87927
E09000012,Hackney,5,White Other,5582
E09000012,Hackney,6,White Other,44200
E09000012,Hackney,7,Other,22422
E09000013,Hammersmith & Fulham,-8,Does not apply,0
E09000013,Hammersmith & Fulham,1,Asian,19306
E09000013,Hammersmith & Fulham,2,Black,22453
E09000013,Hammersmith & Fulham,3,Mixed,12319
E09000013,Hammersmith & Fulham,4,White British,70105
E09000013,Hammersmith & Fulham,5,White Other,4812
E09000013,Hammersmith & Fulham,6,White Other,40762
E09000013,Hammersmith & Fulham,7,Other,13403
E09000014,Haringey,-8,Does not apply,0
E09000014,Haringey,1,Asian,23080
E09000014,Haringey,2,Black,46466
E09000014,Haringey,3,Mixed,18556
E09000014,Haringey,4,White British,84298
E09000014,Haringey,5,White Other,5701
E09000014,Haringey,6,White Other,60582
E09000014,Haringey,7,Other,25555
E09000015,Harrow,-8,Does not apply,0
E09000015,Harrow,1,Asian,118150
E09000015,Harrow,2,Black,19151
E09000015,Harrow,3,Mixed,9833
E09000015,Harrow,4,White British,53567
E09000015,Harrow,5,White Other,5608
E09000015,Harrow,6,White Other,36058
E09000015,Harrow,7,Other,18836
E09000016,Havering,-8,Does not apply,0
E09000016,Havering,1,Asian,28150
E09000016,Havering,2,Black,21567
E09000016,Havering,3,Mixed,9747
E09000016,Havering,4,White British,174232
E09000016,Havering,5,White Other,2894
E09000016,Havering,6,White Other,20188
E09000016,Havering,7,Other,5274
E09000017,Hillingdon,-8,Does not apply,0
E09000017,Hillingdon,1,Asian,101938
E09000017,Hillingdon,2,Black,23957
E09000017,Hillingdon,3,Mixed,13359
E09000017,Hillingdon,4,White British,113377
E09000017,Hillingdon,5,White Other,5585
E09000017,Hillingdon,6,White Other,28425
E09000017,Hillingdon,7,Other,19268
E09000018,Hounslow,-8,Does not apply,0
E09000018,Hounslow,1,Asian,105846
E09000018,Hounslow,2,Black,20810
E09000018,Hounslow,3,Mixed,13514
E09000018,Hounslow,4,White British,81933
E09000018,Hounslow,5,White Other,3894
E09000018,Hounslow,6,White Other,41256
E09000018,Hounslow,7,Other,20928
E09000019,Islington,-8,Does not apply,0
E09000019,Islington,1,Asian,21532
E09000019,Islington,2,Black,28743
E09000019,Islington,3,Mixed,16231
E09000019,Islington,4,White British,86092
E09000019,Islington,5,White Other,7062
E09000019,Islington,6,White Other,41599
E09000019,Islington,7,Other,15330
E09000020,Kensington & Chelsea,-8,Does not apply,0
E09000020,Kensington & Chelsea,1,Asian,17025
E09000020,Kensington & Chelsea,2,Black,11279
E09000020,Kensington & Chelsea,3,Mixed,9525
E09000020,Kensington & Chelsea,4,White British,46883
E09000020,Kensington & Chelsea,5,White Other,2825
E09000020,Kensington & Chelsea,6,White Other,41686
E09000020,Kensington & Chelsea,7,Other,14150
E09000021,Kingston upon Thames,-8,Does not apply,0
E09000021,Kingston upon Thames,1,Asian,29937
E09000021,Kingston upon Thames,2,Black,4740
E09000021,Kingston upon Thames,3,Mixed,8996
E09000021,Kingston upon Thames,4,White British,90288
E09000021,Kingston upon Thames,5,White Other,2633
E09000021,Kingston upon Thames,6,White Other,21910
E09000021,Kingston upon Thames,7,Other,9559
E09000022,Lambeth,-8,Does not apply,0
E09000022,Lambeth,1,Asian,23051
E09000022,Lambeth,2,Black,76145
E09000022,Lambeth,3,Mixed,25632
E09000022,Lambeth,4,White British,119395
E09000022,Lambeth,5,White Other,6828
E09000022,Lambeth,6,White Other,48555
E09000022,Lambeth,7,Other,18046
E09000023,Lewisham,-8,Does not apply,0
E09000023,Lewisham,1,Asian,26927
E09000023,Lewisham,2,Black,80473
E09000023,Lewisham,3,Mixed,24253
E09000023,Lewisham,4,White British,111726
E09000023,Lewisham,5,White Other,5055
E09000023,Lewisham,6,White Other,37968
E09000023,Lewisham,7,Other,14151
E09000024,Merton,-8,Does not apply,0
E09000024,Merton,1,Asian,40019
E09000024,Merton,2,Black,22887
E09000024,Merton,3,Mixed,12765
E09000024,Merton,4,White British,88673
E09000024,Merton,5,White Other,4337
E09000024,Merton,6,White Other,36607
E09000024,Merton,7,Other,9899
E09000025,Newham,-8,Does not apply,0
E09000025,Newham,1,Asian,148189
E09000025,Newham,2,Black,61305
E09000025,Newham,3,Mixed,16420
E09000025,Newham,4,White British,51819
E09000025,Newham,5,White Other,2039
E09000025,Newham,6,White Other,54089
E09000025,Newham,7,Other,17175
E09000026,Redbridge,-8,Does not apply,0
E09000026,Redbridge,1,Asian,146834
E09000026,Redbridge,2,Black,26094
E09000026,Redbridge,3,Mixed,12736
E09000026,Redbridge,4,White British,71844
E09000026,Redbridge,5,White Other,3092
E09000026,Redbridge,6,White Other,33038
E09000026,Redbridge,7,Other,16622
E09000027,Richmond Upon Thames,-8,Does not apply,0
E09000027,Richmond Upon Thames,1,Asian,17467
E09000027,Richmond Upon Thames,2,Black,3690
E09000027,Richmond Upon Thames,3,Mixed,10662
E09000027,Richmond Upon Thames,4,White British,123093
E09000027,Richmond Upon Thames,5,White Other,4866
E09000027,Richmond Upon Thames,6,White Other,29150
E09000027,Richmond Upon Thames,7,Other,6350
E09000028,Southwark,-8,Does not apply,0
E09000028,Southwark,1,Asian,30539
E09000028,Southwark,2,Black,77300
E09000028,Southwark,3,Mixed,22150
E09000028,Southwark,4,White British,109253
E09000028,Southwark,5,White Other,6024
E09000028,Southwark,6,White Other,42943
E09000028,Southwark,7,Other,19430
E09000029,Sutton,-8,Does not apply,0
E09000029,Sutton,1,Asian,36790
E09000029,Sutton,2,Black,12465
E09000029,Sutton,3,Mixed,10162
E09000029,Sutton,4,White British,120014
E09000029,Sutton,5,White Other,3118
E09000029,Sutton,6,White Other,20013
E09000029,Sutton,7,Other,7077
E09000030,Tower Hamlets,-8,Does not apply,0
E09000030,Tower Hamlets,1,Asian,137854
E09000030,Tower Hamlets,2,Black,22693
E09000030,Tower Hamlets,3,Mixed,15407
E09000030,Tower Hamlets,4,White British,71177
E09000030,Tower Hamlets,5,White Other,3567
E09000030,Tower Hamlets,6,White Other,47524
E09000030,Tower Hamlets,7,Other,12082
E09000031,Waltham Forest,-8,Does not apply,0
E09000031,Waltham Forest,1,Asian,55545
E09000031,Waltham Forest,2,Black,41647
E09000031,Waltham Forest,3,Mixed,17983
E09000031,Waltham Forest,4,White British,94766
E09000031,Waltham Forest,5,White Other,4230
E09000031,Waltham Forest,6,White Other,48029
E09000031,Waltham Forest,7,Other,16226
E09000032,W&sworth,-8,Does not apply,0
E09000032,W&sworth,1,Asian,38317
E09000032,W&sworth,2,Black,33062
E09000032,W&sworth,3,Mixed,20598
E09000032,W&sworth,4,White British,157048
E09000032,W&sworth,5,White Other,8061
E09000032,W&sworth,6,White Other,56981
E09000032,W&sworth,7,Other,13442
E09000033,Westminster,-8,Does not apply,0
E09000033,Westminster,1,Asian,34242
E09000033,Westminster,2,Black,16455
E09000033,Westminster,3,Mixed,13336
E09000033,Westminster,4,White British,57162
E09000033,Westminster,5,White Other,3742
E09000033,Westminster,6,White Other,51828
E09000033,Westminster,7,Other,27471
E10000003,Cambridgeshire,-8,Does not apply,0
E10000003,Cambridgeshire,1,Asian,39689
E10000003,Cambridgeshire,2,Black,9745
E10000003,Cambridgeshire,3,Mixed,19354
E10000003,Cambridgeshire,4,White British,524194
E10000003,Cambridgeshire,5,White Other,5685
E10000003,Cambridgeshire,6,White Other,71287
E10000003,Cambridgeshire,7,Other,8895
E10000006,Cumbria,-8,Does not apply,0
E10000006,Cumbria,1,Asian,4909
E10000006,Cumbria,2,Black,1194
E10000006,Cumbria,3,Mixed,4003
E10000006,Cumbria,4,White British,474172
E10000006,Cumbria,5,White Other,1669
E10000006,Cumbria,6,White Other,12184
E10000006,Cumbria,7,Other,1715
E10000007,Derbyshire,-8,Does not apply,0
E10000007,Derbyshire,1,Asian,11672
E10000007,Derbyshire,2,Black,4085
E10000007,Derbyshire,3,Mixed,10851
E10000007,Derbyshire,4,White British,744378
E10000007,Derbyshire,5,White Other,3336
E10000007,Derbyshire,6,White Other,17582
E10000007,Derbyshire,7,Other,2732
E10000008,Devon,-8,Does not apply,0
E10000008,Devon,1,Asian,11845
E10000008,Devon,2,Black,2474
E10000008,Devon,3,Mixed,10967
E10000008,Devon,4,White British,751816
E10000008,Devon,5,White Other,3889
E10000008,Devon,6,White Other,26750
E10000008,Devon,7,Other,3901
E10000011,East Sussex,-8,Does not apply,0
E10000011,East Sussex,1,Asian,11618
E10000011,East Sussex,2,Black,4496
E10000011,East Sussex,3,Mixed,12313
E10000011,East Sussex,4,White British,482043
E10000011,East Sussex,5,White Other,4425
E10000011,East Sussex,6,White Other,25969
E10000011,East Sussex,7,Other,4982
E10000012,Essex,-8,Does not apply,0
E10000012,Essex,1,Asian,56253
E10000012,Essex,2,Black,37393
E10000012,Essex,3,Mixed,36774
E10000012,Essex,4,White British,1279711
E10000012,Essex,5,White Other,11861
E10000012,Essex,6,White Other,66980
E10000012,Essex,7,Other,14549
E10000013,Gloucestershire,-8,Does not apply,0
E10000013,Gloucestershire,1,Asian,18464
E10000013,Gloucestershire,2,Black,7777
E10000013,Gloucestershire,3,Mixed,14149
E10000013,Gloucestershire,4,White British,565811
E10000013,Gloucestershire,5,White Other,4034
E10000013,Gloucestershire,6,White Other,30469
E10000013,Gloucestershire,7,Other,4375
E10000014,Hampshire,-8,Does not apply,0
E10000014,Hampshire,1,Asian,52542
E10000014,Hampshire,2,Black,14305
E10000014,Hampshire,3,Mixed,26198
E10000014,Hampshire,4,White British,1231690
E10000014,Hampshire,5,White Other,7760
E10000014,Hampshire,6,White Other,57283
E10000014,Hampshire,7,Other,11121
E10000015,Hertfordshire,-8,Does not apply,0
E10000015,Hertfordshire,1,Asian,103668
E10000015,Hertfordshire,2,Black,44894
E10000015,Hertfordshire,3,Mixed,45129
E10000015,Hertfordshire,4,White British,861006
E10000015,Hertfordshire,5,White Other,18747
E10000015,Hertfordshire,6,White Other,100308
E10000015,Hertfordshire,7,Other,25049
E10000016,Kent,-8,Does not apply,0
E10000016,Kent,1,Asian,69939
E10000016,Kent,2,Black,41036
E10000016,Kent,3,Mixed,36766
E10000016,Kent,4,White British,1311093
E10000016,Kent,5,White Other,10850
E10000016,Kent,6,White Other,87063
E10000016,Kent,7,Other,19322
E10000017,Lancashire,-8,Does not apply,0
E10000017,Lancashire,1,Asian,100034
E10000017,Lancashire,2,Black,7979
E10000017,Lancashire,3,Mixed,19947
E10000017,Lancashire,4,White British,1052299
E10000017,Lancashire,5,White Other,6677
E10000017,Lancashire,6,White Other,39619
E10000017,Lancashire,7,Other,8799
E10000018,Leicestershire,-8,Does not apply,0
E10000018,Leicestershire,1,Asian,58066
E10000018,Leicestershire,2,Black,7913
E10000018,Leicestershire,3,Mixed,15544
E10000018,Leicestershire,4,White British,595796
E10000018,Leicestershire,5,White Other,3790
E10000018,Leicestershire,6,White Other,23843
E10000018,Leicestershire,7,Other,7413
E10000019,Lincolnshire,-8,Does not apply,0
E10000019,Lincolnshire,1,Asian,11927
E10000019,Lincolnshire,2,Black,4365
E10000019,Lincolnshire,3,Mixed,10189
E10000019,Lincolnshire,4,White British,685720
E10000019,Lincolnshire,5,White Other,3127
E10000019,Lincolnshire,6,White Other,48685
E10000019,Lincolnshire,7,Other,4351
E10000020,Norfolk,-8,Does not apply,0
E10000020,Norfolk,1,Asian,18992
E10000020,Norfolk,2,Black,8369
E10000020,Norfolk,3,Mixed,15080
E10000020,Norfolk,4,White British,814728
E10000020,Norfolk,5,White Other,4049
E10000020,Norfolk,6,White Other,48374
E10000020,Norfolk,7,Other,6528
E10000023,North Yorkshire,-8,Does not apply,0
E10000023,North Yorkshire,1,Asian,8317
E10000023,North Yorkshire,2,Black,2456
E10000023,North Yorkshire,3,Mixed,6722
E10000023,North Yorkshire,4,White British,574065
E10000023,North Yorkshire,5,White Other,2681
E10000023,North Yorkshire,6,White Other,18409
E10000023,North Yorkshire,7,Other,2843
E10000024,Nottinghamshire,-8,Does not apply,0
E10000024,Nottinghamshire,1,Asian,24523
E10000024,Nottinghamshire,2,Black,9932
E10000024,Nottinghamshire,3,Mixed,17105
E10000024,Nottinghamshire,4,White British,729289
E10000024,Nottinghamshire,5,White Other,4019
E10000024,Nottinghamshire,6,White Other,33916
E10000024,Nottinghamshire,7,Other,6038
E10000025,Oxfordshire,-8,Does not apply,0
E10000025,Oxfordshire,1,Asian,46386
E10000025,Oxfordshire,2,Black,14883
E10000025,Oxfordshire,3,Mixed,22611
E10000025,Oxfordshire,4,White British,557149
E10000025,Oxfordshire,5,White Other,6906
E10000025,Oxfordshire,6,White Other,65999
E10000025,Oxfordshire,7,Other,11357
E10000027,Somerset,-8,Does not apply,0
E10000027,Somerset,1,Asian,8658
E10000027,Somerset,2,Black,2436
E10000027,Somerset,3,Mixed,7137
E10000027,Somerset,4,White British,521829
E10000027,Somerset,5,White Other,2631
E10000027,Somerset,6,White Other,26387
E10000027,Somerset,7,Other,2469
E10000028,Staffordshire,-8,Does not apply,0
E10000028,Staffordshire,1,Asian,28910
E10000028,Staffordshire,2,Black,6889
E10000028,Staffordshire,3,Mixed,15288
E10000028,Staffordshire,4,White British,789993
E10000028,Staffordshire,5,White Other,3749
E10000028,Staffordshire,6,White Other,26491
E10000028,Staffordshire,7,Other,4784
E10000029,Suffolk,-8,Does not apply,0
E10000029,Suffolk,1,Asian,17483
E10000029,Suffolk,2,Black,10168
E10000029,Suffolk,3,Mixed,17807
E10000029,Suffolk,4,White British,664205
E10000029,Suffolk,5,White Other,3990
E10000029,Suffolk,6,White Other,40077
E10000029,Suffolk,7,Other,6958
E10000030,Surrey,-8,Does not apply,0
E10000030,Surrey,1,Asian,92911
E10000030,Surrey,2,Black,20834
E10000030,Surrey,3,Mixed,40486
E10000030,Surrey,4,White British,921285
E10000030,Surrey,5,White Other,14111
E10000030,Surrey,6,White Other,93240
E10000030,Surrey,7,Other,20241
E10000031,Warwickshire,-8,Does not apply,0
E10000031,Warwickshire,1,Asian,37321
E10000031,Warwickshire,2,Black,8019
E10000031,Warwickshire,3,Mixed,13533
E10000031,Warwickshire,4,White British,490070
E10000031,Warwickshire,5,White Other,5540
E10000031,Warwickshire,6,White Other,36064
E10000031,Warwickshire,7,Other,6229
E10000032,West Sussex,-8,Does not apply,0
E10000032,West Sussex,1,Asian,38292
E10000032,West Sussex,2,Black,11429
E10000032,West Sussex,3,Mixed,20811
E10000032,West Sussex,4,White British,743568
E10000032,West Sussex,5,White Other,6761
E10000032,West Sussex,6,White Other,53188
E10000032,West Sussex,7,Other,8626
E10000034,Worcestershire,-8,Does not apply,0
E10000034,Worcestershire,1,Asian,18511
E10000034,Worcestershire,2,Black,4151
E10000034,Worcestershire,3,Mixed,11173
E10000034,Worcestershire,4,White British,535492
E10000034,Worcestershire,5,White Other,3579
E10000034,Worcestershire,6,White Other,27413
E10000034,Worcestershire,7,Other,3357
W06000001,Isle of Anglesey,-8,Does not apply,0
W06000001,Isle of Anglesey,1,Asian,430
W06000001,Isle of Anglesey,2,Black,104
W06000001,Isle of Anglesey,3,Mixed,597
W06000001,Isle of Anglesey,4,White British,66339
W06000001,Isle of Anglesey,5,White Other,381
W06000001,Isle of Anglesey,6,White Other,867
W06000001,Isle of Anglesey,7,Other,160
W06000002,Gwynedd,-8,Does not apply,0
W06000002,Gwynedd,1,Asian,1968
W06000002,Gwynedd,2,Black,513
W06000002,Gwynedd,3,Mixed,1333
W06000002,Gwynedd,4,White British,109548
W06000002,Gwynedd,5,White Other,554
W06000002,Gwynedd,6,White Other,2886
W06000002,Gwynedd,7,Other,591
W06000003,Conwy,-8,Does not apply,0
W06000003,Conwy,1,Asian,1648
W06000003,Conwy,2,Black,271
W06000003,Conwy,3,Mixed,1255
W06000003,Conwy,4,White British,107926
W06000003,Conwy,5,White Other,843
W06000003,Conwy,6,White Other,2407
W06000003,Conwy,7,Other,391
W06000004,Denbighshire,-8,Does not apply,0
W06000004,Denbighshire,1,Asian,1650
W06000004,Denbighshire,2,Black,268
W06000004,Denbighshire,3,Mixed,1053
W06000004,Denbighshire,4,White British,90470
W06000004,Denbighshire,5,White Other,484
W06000004,Denbighshire,6,White Other,1532
W06000004,Denbighshire,7,Other,362
W06000005,Flintshire,-8,Does not apply,0
W06000005,Flintshire,1,Asian,1455
W06000005,Flintshire,2,Black,292
W06000005,Flintshire,3,Mixed,1446
W06000005,Flintshire,4,White British,144356
W06000005,Flintshire,5,White Other,630
W06000005,Flintshire,6,White Other,6248
W06000005,Flintshire,7,Other,535
W06000006,Wrexham,-8,Does not apply,0
W06000006,Wrexham,1,Asian,2246
W06000006,Wrexham,2,Black,877
W06000006,Wrexham,3,Mixed,1554
W06000006,Wrexham,4,White British,122547
W06000006,Wrexham,5,White Other,427
W06000006,Wrexham,6,White Other,6703
W06000006,Wrexham,7,Other,763
W06000008,Ceredigion,-8,Does not apply,0
W06000008,Ceredigion,1,Asian,1096
W06000008,Ceredigion,2,Black,366
W06000008,Ceredigion,3,Mixed,868
W06000008,Ceredigion,4,White British,65674
W06000008,Ceredigion,5,White Other,430
W06000008,Ceredigion,6,White Other,2673
W06000008,Ceredigion,7,Other,368
W06000009,Pembrokeshire,-8,Does not apply,0
W06000009,Pembrokeshire,1,Asian,1159
W06000009,Pembrokeshire,2,Black,246
W06000009,Pembrokeshire,3,Mixed,1162
W06000009,Pembrokeshire,4,White British,116816
W06000009,Pembrokeshire,5,White Other,701
W06000009,Pembrokeshire,6,White Other,2857
W06000009,Pembrokeshire,7,Other,422
W06000010,Carmarthenshire,-8,Does not apply,0
W06000010,Carmarthenshire,1,Asian,2321
W06000010,Carmarthenshire,2,Black,455
W06000010,Carmarthenshire,3,Mixed,1757
W06000010,Carmarthenshire,4,White British,176673
W06000010,Carmarthenshire,5,White Other,649
W06000010,Carmarthenshire,6,White Other,5329
W06000010,Carmarthenshire,7,Other,714
W06000011,Swansea,-8,Does not apply,0
W06000011,Swansea,1,Asian,10450
W06000011,Swansea,2,Black,2797
W06000011,Swansea,3,Mixed,3808
W06000011,Swansea,4,White British,208703
W06000011,Swansea,5,White Other,1111
W06000011,Swansea,6,White Other,8238
W06000011,Swansea,7,Other,3383
W06000012,Neath Port Talbot,-8,Does not apply,0
W06000012,Neath Port Talbot,1,Asian,2253
W06000012,Neath Port Talbot,2,Black,522
W06000012,Neath Port Talbot,3,Mixed,1583
W06000012,Neath Port Talbot,4,White British,135111
W06000012,Neath Port Talbot,5,White Other,437
W06000012,Neath Port Talbot,6,White Other,1963
W06000012,Neath Port Talbot,7,Other,421
W06000013,Bridgend,-8,Does not apply,0
W06000013,Bridgend,1,Asian,2152
W06000013,Bridgend,2,Black,428
W06000013,Bridgend,3,Mixed,1682
W06000013,Bridgend,4,White British,137755
W06000013,Bridgend,5,White Other,452
W06000013,Bridgend,6,White Other,2592
W06000013,Bridgend,7,Other,426
W06000014,Vale of Glamorgan,-8,Does not apply,0
W06000014,Vale of Glamorgan,1,Asian,2807
W06000014,Vale of Glamorgan,2,Black,624
W06000014,Vale of Glamorgan,3,Mixed,2987
W06000014,Vale of Glamorgan,4,White British,121371
W06000014,Vale of Glamorgan,5,White Other,659
W06000014,Vale of Glamorgan,6,White Other,2770
W06000014,Vale of Glamorgan,7,Other,721
W06000015,Cardiff,-8,Does not apply,0
W06000015,Cardiff,1,Asian,34983
W06000015,Cardiff,2,Black,13894
W06000015,Cardiff,3,Mixed,14506
W06000015,Cardiff,4,White British,266533
W06000015,Cardiff,5,White Other,2335
W06000015,Cardiff,6,White Other,18063
W06000015,Cardiff,7,Other,11994
W06000016,Rhondda Cynon Taf,-8,Does not apply,0
W06000016,Rhondda Cynon Taf,1,Asian,3506
W06000016,Rhondda Cynon Taf,2,Black,996
W06000016,Rhondda Cynon Taf,3,Mixed,2468
W06000016,Rhondda Cynon Taf,4,White British,226123
W06000016,Rhondda Cynon Taf,5,White Other,516
W06000016,Rhondda Cynon Taf,6,White Other,3284
W06000016,Rhondda Cynon Taf,7,Other,758
W06000018,Caerphilly,-8,Does not apply,0
W06000018,Caerphilly,1,Asian,1584
W06000018,Caerphilly,2,Black,283
W06000018,Caerphilly,3,Mixed,1753
W06000018,Caerphilly,4,White British,169356
W06000018,Caerphilly,5,White Other,389
W06000018,Caerphilly,6,White Other,2209
W06000018,Caerphilly,7,Other,382
