Upper tier local authorities Code,Upper tier local authorities,Ethnic group (8 categories) Code,Ethnic group,Observation
E06000017,Rutl&,1,Asian,632
E06000017,Rutl&,2,Black,552
E06000017,Rutl&,3,Mixed,744
E06000017,Rutl&,4,White British,37372
E06000017,Rutl&,5,White Other,265
E06000017,Rutl&,6,White Other,1272
E06000017,Rutl&,7,Other,212
E06000018,Nottingham,-8,Does not apply,0
E06000018,Nottingham,1,Asian,48217
E06000018,Nottingham,2,Black,32212
E06000018,Nottingham,3,Mixed,19063
E06000018,Nottingham,4,White British,185580
E06000018,Nottingham,5,White Other,2360
E06000018,Nottingham,6,White Other,25490
E06000018,Nottingham,7,Other,10710
E06000019,Herefordshire,-8,Does not apply,0
E06000019,Herefordshire,1,Asian,2218
E06000019,Herefordshire,2,Black,567
E06000019,Herefordshire,3,Mixed,1980
E06000019,Herefordshire,4,White British,170419
E06000019,Herefordshire,5,White Other,727
E06000019,Herefordshire,6,White Other,10102
E06000019,Herefordshire,7,Other,1021
E06000020,Telford & Wrekin,-8,Does not apply,0
E06000020,Telford & Wrekin,1,Asian,10066
E06000020,Telford & Wrekin,2,Black,5351
E06000020,Telford & Wrekin,3,Mixed,4844
E06000020,Telford & Wrekin,4,White British,153936
E06000020,Telford & Wrekin,5,White Other,723
E06000020,Telford & Wrekin,6,White Other,8977
E06000020,Telford & Wrekin,7,Other,1643
E06000021,Stoke-on-Trent,-8,Does not apply,0
E06000021,Stoke-on-Trent,1,Asian,25597
E06000021,Stoke-on-Trent,2,Black,6884
E06000021,Stoke-on-Trent,3,Mixed,5860
E06000021,Stoke-on-Trent,4,White British,202906
E06000021,Stoke-on-Trent,5,White Other,572
E06000021,Stoke-on-Trent,6,White Other,12221
E06000021,Stoke-on-Trent,7,Other,4329
E06000022,Bath & North East Somerset,-8,Does not apply,0
E06000022,Bath & North East Somerset,1,Asian,6389
E06000022,Bath & North East Somerset,2,Black,1846
E06000022,Bath & North East Somerset,3,Mixed,5256
E06000022,Bath & North East Somerset,4,White British,165478
E06000022,Bath & North East Somerset,5,White Other,1427
E06000022,Bath & North East Somerset,6,White Other,11403
E06000022,Bath & North East Somerset,7,Other,1610
E06000023,Bristol,-8,Does not apply,0
E06000023,Bristol,1,Asian,31269
E06000023,Bristol,2,Black,27890
E06000023,Bristol,3,Mixed,21116
E06000023,Bristol,4,White British,338452
E06000023,Bristol,5,White Other,4288
E06000023,Bristol,6,White Other,40402
E06000023,Bristol,7,Other,9050
E06000024,North Somerset,-8,Does not apply,0
E06000024,North Somerset,1,Asian,3321
E06000024,North Somerset,2,Black,1139
E06000024,North Somerset,3,Mixed,3638
E06000024,North Somerset,4,White British,195915
E06000024,North Somerset,5,White Other,1210
E06000024,North Somerset,6,White Other,10305
E06000024,North Somerset,7,Other,1204
E06000025,South Gloucestershire,-8,Does not apply,0
E06000025,South Gloucestershire,1,Asian,11094
E06000025,South Gloucestershire,2,Black,4534
E06000025,South Gloucestershire,3,Mixed,7289
E06000025,South Gloucestershire,4,White British,249160
E06000025,South Gloucestershire,5,White Other,1327
E06000025,South Gloucestershire,6,White Other,14369
E06000025,South Gloucestershire,7,Other,2652
E06000026,Plymouth,-8,Does not apply,0
E06000026,Plymouth,1,Asian,5947
E06000026,Plymouth,2,Black,2786
E06000026,Plymouth,3,Mixed,4656
E06000026,Plymouth,4,White British,236802
E06000026,Plymouth,5,White Other,1055
E06000026,Plymouth,6,White Other,10871
E06000026,Plymouth,7,Other,2579
E06000027,Torbay,-8,Does not apply,0
E06000027,Torbay,1,Asian,2253
E06000027,Torbay,2,Black,447
E06000027,Torbay,3,Mixed,2084
E06000027,Torbay,4,White British,128375
E06000027,Torbay,5,White Other,714
E06000027,Torbay,6,White Other,4833
E06000027,Torbay,7,Other,618
E06000030,Swindon,-8,Does not apply,0
E06000030,Swindon,1,Asian,27173
E06000030,Swindon,2,Black,6123
E06000030,Swindon,3,Mixed,6494
E06000030,Swindon,4,White British,173231
E06000030,Swindon,5,White Other,1545
E06000030,Swindon,6,White Other,15366
E06000030,Swindon,7,Other,3478
E06000031,Peterborough,-8,Does not apply,0
E06000031,Peterborough,1,Asian,30801
E06000031,Peterborough,2,Black,8751
E06000031,Peterborough,3,Mixed,7617
E06000031,Peterborough,4,White British,128353
E06000031,Peterborough,5,White Other,1177
E06000031,Peterborough,6,White Other,33051
E06000031,Peterborough,7,Other,5923
E06000032,Luton,-8,Does not apply,0
E06000032,Luton,1,Asian,83325
E06000032,Luton,2,Black,22736
E06000032,Luton,3,Mixed,9620
E06000032,Luton,4,White British,71532
E06000032,Luton,5,White Other,4570
E06000032,Luton,6,White Other,25696
E06000032,Luton,7,Other,7783
E06000033,Southend-on-Sea,-8,Does not apply,0
E06000033,Southend-on-Sea,1,Asian,9865
E06000033,Southend-on-Sea,2,Black,5153
E06000033,Southend-on-Sea,3,Mixed,5553
E06000033,Southend-on-Sea,4,White British,147442
E06000033,Southend-on-Sea,5,White Other,1569
E06000033,Southend-on-Sea,6,White Other,9068
E06000033,Southend-on-Sea,7,Other,2036
E06000034,Thurrock,-8,Does not apply,0
E06000034,Thurrock,1,Asian,12208
E06000034,Thurrock,2,Black,20877
E06000034,Thurrock,3,Mixed,5252
E06000034,Thurrock,4,White British,116430
E06000034,Thurrock,5,White Other,993
E06000034,Thurrock,6,White Other,17565
E06000034,Thurrock,7,Other,2676
E06000035,Medway,-8,Does not apply,0
E06000035,Medway,1,Asian,16485
E06000035,Medway,2,Black,15723
E06000035,Medway,3,Mixed,7859
E06000035,Medway,4,White British,218953
E06000035,Medway,5,White Other,1866
E06000035,Medway,6,White Other,14928
E06000035,Medway,7,Other,3959
E06000036,Bracknell Forest,-8,Does not apply,0
E06000036,Bracknell Forest,1,Asian,8880
E06000036,Bracknell Forest,2,Black,2993
E06000036,Bracknell Forest,3,Mixed,3843
E06000036,Bracknell Forest,4,White British,96950
E06000036,Bracknell Forest,5,White Other,1038
E06000036,Bracknell Forest,6,White Other,9282
E06000036,Bracknell Forest,7,Other,1621
E06000037,West Berkshire,-8,Does not apply,0
E06000037,West Berkshire,1,Asian,5991
E06000037,West Berkshire,2,Black,2030
E06000037,West Berkshire,3,Mixed,3856
E06000037,West Berkshire,4,White British,138253
E06000037,West Berkshire,5,White Other,1404
E06000037,West Berkshire,6,White Other,8727
E06000037,West Berkshire,7,Other,1186
E06000038,Reading,-8,Does not apply,0
E06000038,Reading,1,Asian,30841
E06000038,Reading,2,Black,12532
E06000038,Reading,3,Mixed,8962
E06000038,Reading,4,White British,93167
E06000038,Reading,5,White Other,2040
E06000038,Reading,6,White Other,21680
E06000038,Reading,7,Other,5002
E06000039,Slough,-8,Does not apply,0
E06000039,Slough,1,Asian,74093
E06000039,Slough,2,Black,11992
E06000039,Slough,3,Mixed,6311
E06000039,Slough,4,White British,38101
E06000039,Slough,5,White Other,1143
E06000039,Slough,6,White Other,17890
E06000039,Slough,7,Other,8970
E06000040,Windsor & Maidenhead,-8,Does not apply,0
E06000040,Windsor & Maidenhead,1,Asian,20071
E06000040,Windsor & Maidenhead,2,Black,2359
E06000040,Windsor & Maidenhead,3,Mixed,5238
E06000040,Windsor & Maidenhead,4,White British,105991
E06000040,Windsor & Maidenhead,5,White Other,2176
E06000040,Windsor & Maidenhead,6,White Other,14384
E06000040,Windsor & Maidenhead,7,Other,3278
E06000041,Wokingham,-8,Does not apply,0
E06000041,Wokingham,1,Asian,22868
E06000041,Wokingham,2,Black,4306
E06000041,Wokingham,3,Mixed,5574
E06000041,Wokingham,4,White British,129087
E06000041,Wokingham,5,White Other,1504
E06000041,Wokingham,6,White Other,11260
E06000041,Wokingham,7,Other,2903
E06000042,Milton Keynes,-8,Does not apply,0
E06000042,Milton Keynes,1,Asian,35645
E06000042,Milton Keynes,2,Black,27850
E06000042,Milton Keynes,3,Mixed,11725
E06000042,Milton Keynes,4,White British,178568
E06000042,Milton Keynes,5,White Other,2382
E06000042,Milton Keynes,6,White Other,25166
E06000042,Milton Keynes,7,Other,5723
E06000043,Brighton & Hove,-8,Does not apply,0
E06000043,Brighton & Hove,1,Asian,13217
E06000043,Brighton & Hove,2,Black,5458
E06000043,Brighton & Hove,3,Mixed,13228
E06000043,Brighton & Hove,4,White British,204831
E06000043,Brighton & Hove,5,White Other,3944
E06000043,Brighton & Hove,6,White Other,27796
E06000043,Brighton & Hove,7,Other,8629
E06000044,Portsmouth,-8,Does not apply,0
E06000044,Portsmouth,1,Asian,14371
E06000044,Portsmouth,2,Black,7070
E06000044,Portsmouth,3,Mixed,5488
E06000044,Portsmouth,4,White British,161664
E06000044,Portsmouth,5,White Other,1066
E06000044,Portsmouth,6,White Other,14547
E06000044,Portsmouth,7,Other,3797
E06000045,Southampton,-8,Does not apply,0
E06000045,Southampton,1,Asian,26414
E06000045,Southampton,2,Black,7539
E06000045,Southampton,3,Mixed,8311
E06000045,Southampton,4,White British,169481
E06000045,Southampton,5,White Other,1643
E06000045,Southampton,6,White Other,29705
E06000045,Southampton,7,Other,5829
E06000046,Isle of Wight,-8,Does not apply,0
E06000046,Isle of Wight,1,Asian,1662
E06000046,Isle of Wight,2,Black,478
E06000046,Isle of Wight,3,Mixed,1720
E06000046,Isle of Wight,4,White British,131697
E06000046,Isle of Wight,5,White Other,830
E06000046,Isle of Wight,6,White Other,3693
E06000046,Isle of Wight,7,Other,379
E06000047,County Durham,-8,Does not apply,0
E06000047,County Durham,1,Asian,7834
E06000047,County Durham,2,Black,1741
E06000047,County Durham,3,Mixed,4949
E06000047,County Durham,4,White British,494638
E06000047,County Durham,5,White Other,1384
E06000047,County Durham,6,White Other,9449
E06000047,County Durham,7,Other,2073
E06000049,Cheshire East,-8,Does not apply,0
E06000049,Cheshire East,1,Asian,9531
E06000049,Cheshire East,2,Black,2422
E06000049,Cheshire East,3,Mixed,7059
E06000049,Cheshire East,4,White British,357337
E06000049,Cheshire East,5,White Other,2559
E06000049,Cheshire East,6,White Other,16647
E06000049,Cheshire East,7,Other,3217
E06000050,Cheshire West & Chester,-8,Does not apply,0
E06000050,Cheshire West & Chester,1,Asian,7231
E06000050,Cheshire West & Chester,2,Black,2107
E06000050,Cheshire West & Chester,3,Mixed,5291
E06000050,Cheshire West & Chester,4,White British,325620
E06000050,Cheshire West & Chester,5,White Other,2651
E06000050,Cheshire West & Chester,6,White Other,12091
E06000050,Cheshire West & Chester,7,Other,2159
E06000051,Shropshire,-8,Does not apply,0
E06000051,Shropshire,1,Asian,4324
E06000051,Shropshire,2,Black,1117
E06000051,Shropshire,3,Mixed,3861
E06000051,Shropshire,4,White British,301918
E06000051,Shropshire,5,White Other,1506
E06000051,Shropshire,6,White Other,9452
E06000051,Shropshire,7,Other,1428
E06000052,Cornwall,-8,Does not apply,0
E06000052,Cornwall,1,Asian,4032
E06000052,Cornwall,2,Black,1058
E06000052,Cornwall,3,Mixed,7030
E06000052,Cornwall,4,White British,533882
E06000052,Cornwall,5,White Other,2455
E06000052,Cornwall,6,White Other,15793
E06000052,Cornwall,7,Other,6055
E06000053,Isles of Scilly,-8,Does not apply,0
E06000053,Isles of Scilly,1,Asian,6
E06000053,Isles of Scilly,2,Black,4
E06000053,Isles of Scilly,3,Mixed,23
E06000053,Isles of Scilly,4,White British,1926
E06000053,Isles of Scilly,5,White Other,9
E06000053,Isles of Scilly,6,White Other,69
E06000053,Isles of Scilly,7,Other,18
E06000054,Wiltshire,-8,Does not apply,0
E06000054,Wiltshire,1,Asian,10876
E06000054,Wiltshire,2,Black,5786
E06000054,Wiltshire,3,Mixed,8709
E06000054,Wiltshire,4,White British,459594
E06000054,Wiltshire,5,White Other,2591
E06000054,Wiltshire,6,White Other,19228
E06000054,Wiltshire,7,Other,3549
E06000055,Bedford,-8,Does not apply,0
E06000055,Bedford,1,Asian,23264
E06000055,Bedford,2,Black,9848
E06000055,Bedford,3,Mixed,8585
E06000055,Bedford,4,White British,118779
E06000055,Bedford,5,White Other,1798
E06000055,Bedford,6,White Other,19597
E06000055,Bedford,7,Other,3353
E06000056,Central Bedfordshire,-8,Does not apply,0
E06000056,Central Bedfordshire,1,Asian,10321
E06000056,Central Bedfordshire,2,Black,7018
E06000056,Central Bedfordshire,3,Mixed,8886
E06000056,Central Bedfordshire,4,White British,245769
E06000056,Central Bedfordshire,5,White Other,3527
E06000056,Central Bedfordshire,6,White Other,16249
E06000056,Central Bedfordshire,7,Other,2483
E06000057,Northumberl&,-8,Does not apply,0
E06000057,Northumberl&,1,Asian,3372
E06000057,Northumberl&,2,Black,598
E06000057,Northumberl&,3,Mixed,2559
E06000057,Northumberl&,4,White British,308015
E06000057,Northumberl&,5,White Other,910
E06000057,Northumberl&,6,White Other,4102
E06000057,Northumberl&,7,Other,1010
E06000058,"Bournemouth, Christchurch & Poole",-8,Does not apply,0
E06000058,"Bournemouth, Christchurch & Poole",1,Asian,13552
E06000058,"Bournemouth, Christchurch & Poole",2,Black,4233
E06000058,"Bournemouth, Christchurch & Poole",3,Mixed,11093
E06000058,"Bournemouth, Christchurch & Poole",4,White British,329609
E06000058,"Bournemouth, Christchurch & Poole",5,White Other,2611
E06000058,"Bournemouth, Christchurch & Poole",6,White Other,33290
E06000058,"Bournemouth, Christchurch & Poole",7,Other,5808
E06000059,Dorset,-8,Does not apply,0
E06000059,Dorset,1,Asian,4305
E06000059,Dorset,2,Black,1081
E06000059,Dorset,3,Mixed,4436
